Saved checkpoint.
Global Step:   1410, accuracy:  40.3%, loss = 380702.16 (119632.2 examples/sec, 0.00 sec/batch)
Global Step:   1420, accuracy:  39.3%, loss = 335748.09 (74126.1 examples/sec, 0.00 sec/batch)
Global Step:   1430, accuracy:  44.7%, loss = 321521.00 (99745.6 examples/sec, 0.00 sec/batch)
Global Step:   1440, accuracy:  33.7%, loss = 438656.75 (100334.2 examples/sec, 0.00 sec/batch)
Global Step:   1450, accuracy:  42.0%, loss = 370432.28 (119666.3 examples/sec, 0.00 sec/batch)
Global Step:   1460, accuracy:  39.0%, loss = 391501.56 (102835.2 examples/sec, 0.00 sec/batch)
Global Step:   1470, accuracy:  39.3%, loss = 375423.62 (66491.8 examples/sec, 0.00 sec/batch)
Global Step:   1480, accuracy:  38.7%, loss = 397398.41 (118550.1 examples/sec, 0.00 sec/batch)
Global Step:   1490, accuracy:  38.7%, loss = 367891.44 (99745.6 examples/sec, 0.00 sec/batch)
Global Step:   1500, accuracy:  37.3%, loss = 352640.28 (85726.3 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   1510, accuracy:  43.7%, loss = 348687.16 (119700.5 examples/sec, 0.00 sec/batch)
Global Step:   1520, accuracy:  40.0%, loss = 346796.72 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   1530, accuracy:  36.0%, loss = 390864.81 (119643.5 examples/sec, 0.00 sec/batch)
Global Step:   1540, accuracy:  38.3%, loss = 388750.12 (99761.5 examples/sec, 0.00 sec/batch)
Global Step:   1550, accuracy:  37.7%, loss = 373514.41 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   1560, accuracy:  44.0%, loss = 288799.44 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   1570, accuracy:  45.3%, loss = 318547.22 (119711.8 examples/sec, 0.00 sec/batch)
Global Step:   1580, accuracy:  38.0%, loss = 374438.38 (119746.0 examples/sec, 0.00 sec/batch)
Global Step:   1590, accuracy:  37.7%, loss = 367461.06 (119654.9 examples/sec, 0.00 sec/batch)
Global Step:   1600, accuracy:  45.7%, loss = 305854.94 (99721.9 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   1610, accuracy:  41.3%, loss = 340966.25 (85475.9 examples/sec, 0.00 sec/batch)
Global Step:   1620, accuracy:  45.0%, loss = 306228.28 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   1630, accuracy:  42.3%, loss = 379142.56 (99777.3 examples/sec, 0.00 sec/batch)
Global Step:   1640, accuracy:  40.3%, loss = 360474.41 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   1650, accuracy:  39.7%, loss = 331605.38 (119654.9 examples/sec, 0.00 sec/batch)
Global Step:   1660, accuracy:  37.7%, loss = 367002.66 (99737.7 examples/sec, 0.00 sec/batch)
Global Step:   1670, accuracy:  46.7%, loss = 317663.62 (99745.6 examples/sec, 0.00 sec/batch)
Global Step:   1680, accuracy:  44.3%, loss = 306531.59 (99943.7 examples/sec, 0.00 sec/batch)
Global Step:   1690, accuracy:  45.0%, loss = 346856.28 (99745.6 examples/sec, 0.00 sec/batch)
Global Step:   1700, accuracy:  42.0%, loss = 352219.00 (119711.8 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   1710, accuracy:  44.3%, loss = 314760.09 (99698.2 examples/sec, 0.00 sec/batch)
Global Step:   1720, accuracy:  47.7%, loss = 299459.16 (99808.9 examples/sec, 0.00 sec/batch)
Global Step:   1730, accuracy:  43.3%, loss = 298496.16 (119723.2 examples/sec, 0.00 sec/batch)
Global Step:   1740, accuracy:  47.0%, loss = 247525.95 (119620.8 examples/sec, 0.00 sec/batch)
Global Step:   1750, accuracy:  45.7%, loss = 303063.91 (100639.1 examples/sec, 0.00 sec/batch)
Global Step:   1760, accuracy:  47.0%, loss = 269248.50 (99706.1 examples/sec, 0.00 sec/batch)
Global Step:   1770, accuracy:  44.0%, loss = 303277.00 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   1780, accuracy:  43.0%, loss = 306679.84 (99761.5 examples/sec, 0.00 sec/batch)
Global Step:   1790, accuracy:  39.0%, loss = 335959.75 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   1800, accuracy:  41.3%, loss = 315599.81 (99729.8 examples/sec, 0.00 sec/batch)
Saved checkpoint.
Global Step:   1810, accuracy:  43.7%, loss = 355517.91 (119711.8 examples/sec, 0.00 sec/batch)
Global Step:   1820, accuracy:  44.7%, loss = 290579.00 (74795.9 examples/sec, 0.00 sec/batch)
Global Step:   1830, accuracy:  43.7%, loss = 313333.78 (99753.5 examples/sec, 0.00 sec/batch)
Global Step:   1840, accuracy:  42.3%, loss = 303030.06 (119689.1 examples/sec, 0.00 sec/batch)
Global Step:   1850, accuracy:  44.7%, loss = 277792.47 (119677.7 examples/sec, 0.00 sec/batch)
Global Step:   1860, accuracy:  43.0%, loss = 314259.12 (99477.5 examples/sec, 0.00 sec/batch)
Global Step:   1870, accuracy:  45.0%, loss = 298049.19 (99745.6 examples/sec, 0.00 sec/batch)
